Full Date,Date ID,Year,Quarter,Month,Month Name,Day,Weekday,Is Weekend
2015-01-17,368,2015,1,1,January,17,Saturday,True
2015-01-18,369,2015,1,1,January,18,Sunday,True
2015-01-19,370,2015,1,1,January,19,Monday,False
2015-01-22,371,2015,1,1,January,22,Thursday,False
2015-01-23,372,2015,1,1,January,23,Friday,False
2015-01-24,373,2015,1,1,January,24,Saturday,True
2015-01-26,374,2015,1,1,January,26,Monday,False
2015-01-27,375,2015,1,1,January,27,Tuesday,False
2015-01-28,376,2015,1,1,January,28,Wednesday,False
2015-01-29,377,2015,1,1,January,29,Thursday,False
2015-01-30,378,2015,1,1,January,30,Friday,False
2015-01-31,379,2015,1,1,January,31,Saturday,True
2015-02-01,380,2015,1,2,February,1,Sunday,True
2015-02-03,381,2015,1,2,February,3,Tuesday,False
2015-02-04,382,2015,1,2,February,4,Wednesday,False
2015-02-05,383,2015,1,2,February,5,Thursday,False
2015-02-06,384,2015,1,2,February,6,Friday,False
2015-02-07,385,2015,1,2,February,7,Saturday,True
2015-02-08,386,2015,1,2,February,8,Sunday,True
2015-02-09,387,2015,1,2,February,9,Monday,False
2015-02-10,388,2015,1,2,February,10,Tuesday,False
2015-02-11,389,2015,1,2,February,11,Wednesday,False
2015-02-13,390,2015,1,2,February,13,Friday,False
2015-02-14,391,2015,1,2,February,14,Saturday,True
2015-02-15,392,2015,1,2,February,15,Sunday,True
2015-02-16,393,2015,1,2,February,16,Monday,False
2015-02-18,394,2015,1,2,February,18,Wednesday,False
2015-02-19,395,2015,1,2,February,19,Thursday,False
2015-02-20,396,2015,1,2,February,20,Friday,False
2015-02-21,397,2015,1,2,February,21,Saturday,True
2015-02-22,398,2015,1,2,February,22,Sunday,True
2015-02-23,399,2015,1,2,February,23,Monday,False
2015-02-24,400,2015,1,2,February,24,Tuesday,False
2015-02-25,401,2015,1,2,February,25,Wednesday,False
2015-02-27,402,2015,1,2,February,27,Friday,False
2015-02-28,403,2015,1,2,February,28,Saturday,True
2015-03-01,404,2015,1,3,March,1,Sunday,True
2015-03-02,405,2015,1,3,March,2,Monday,False
2015-03-03,406,2015,1,3,March,3,Tuesday,False
2015-03-04,407,2015,1,3,March,4,Wednesday,False
2015-03-05,408,2015,1,3,March,5,Thursday,False
2015-03-06,409,2015,1,3,March,6,Friday,False
2015-03-07,410,2015,1,3,March,7,Saturday,True
2015-03-08,411,2015,1,3,March,8,Sunday,True
2015-03-09,412,2015,1,3,March,9,Monday,False
2015-03-10,413,2015,1,3,March,10,Tuesday,False
2015-03-11,414,2015,1,3,March,11,Wednesday,False
2015-03-12,415,2015,1,3,March,12,Thursday,False
2015-03-13,416,2015,1,3,March,13,Friday,False
2015-03-14,417,2015,1,3,March,14,Saturday,True
2015-03-15,418,2015,1,3,March,15,Sunday,True
2015-03-16,419,2015,1,3,March,16,Monday,False
2015-03-17,420,2015,1,3,March,17,Tuesday,False
2015-03-18,421,2015,1,3,March,18,Wednesday,False
2015-03-19,422,2015,1,3,March,19,Thursday,False
2015-03-20,423,2015,1,3,March,20,Friday,False
2015-03-21,424,2015,1,3,March,21,Saturday,True
2015-03-22,425,2015,1,3,March,22,Sunday,True
2015-03-23,426,2015,1,3,March,23,Monday,False
2015-03-24,427,2015,1,3,March,24,Tuesday,False
2015-03-25,428,2015,1,3,March,25,Wednesday,False
2015-03-26,429,2015,1,3,March,26,Thursday,False
2015-03-27,430,2015,1,3,March,27,Friday,False
2015-03-28,431,2015,1,3,March,28,Saturday,True
2015-03-29,432,2015,1,3,March,29,Sunday,True
2015-03-30,433,2015,1,3,March,30,Monday,False
2015-03-31,434,2015,1,3,March,31,Tuesday,False
2015-04-02,435,2015,2,4,April,2,Thursday,False
2015-04-03,436,2015,2,4,April,3,Friday,False
2015-04-04,437,2015,2,4,April,4,Saturday,True
2015-04-05,438,2015,2,4,April,5,Sunday,True
2015-04-06,439,2015,2,4,April,6,Monday,False
2015-04-07,440,2015,2,4,April,7,Tuesday,False
2015-04-08,441,2015,2,4,April,8,Wednesday,False
2015-04-09,442,2015,2,4,April,9,Thursday,False
2015-04-10,443,2015,2,4,April,10,Friday,False
2015-04-11,444,2015,2,4,April,11,Saturday,True
2015-04-12,445,2015,2,4,April,12,Sunday,True
2015-04-13,446,2015,2,4,April,13,Monday,False
2015-04-14,447,2015,2,4,April,14,Tuesday,False
2015-04-15,448,2015,2,4,April,15,Wednesday,False
2015-04-16,449,2015,2,4,April,16,Thursday,False
2015-04-17,450,2015,2,4,April,17,Friday,False
2015-04-18,451,2015,2,4,April,18,Saturday,True
2015-04-19,452,2015,2,4,April,19,Sunday,True
2015-04-20,453,2015,2,4,April,20,Monday,False
2015-04-21,454,2015,2,4,April,21,Tuesday,False
2015-04-22,455,2015,2,4,April,22,Wednesday,False
2015-04-23,456,2015,2,4,April,23,Thursday,False
2015-04-24,457,2015,2,4,April,24,Friday,False
2015-04-25,458,2015,2,4,April,25,Saturday,True
2015-04-26,459,2015,2,4,April,26,Sunday,True
2015-04-27,460,2015,2,4,April,27,Monday,False
2015-04-28,461,2015,2,4,April,28,Tuesday,False
2015-04-29,462,2015,2,4,April,29,Wednesday,False
2015-04-30,463,2015,2,4,April,30,Thursday,False
2015-05-01,464,2015,2,5,May,1,Friday,False
2015-05-02,465,2015,2,5,May,2,Saturday,True
2015-05-03,466,2015,2,5,May,3,Sunday,True
2015-05-04,467,2015,2,5,May,4,Monday,False
2015-05-05,468,2015,2,5,May,5,Tuesday,False
2015-05-06,469,2015,2,5,May,6,Wednesday,False
2015-05-07,470,2015,2,5,May,7,Thursday,False
2015-05-08,471,2015,2,5,May,8,Friday,False
2015-05-09,472,2015,2,5,May,9,Saturday,True
2015-05-10,473,2015,2,5,May,10,Sunday,True
2015-05-11,474,2015,2,5,May,11,Monday,False
2015-05-12,475,2015,2,5,May,12,Tuesday,False
2015-05-13,476,2015,2,5,May,13,Wednesday,False
2015-05-14,477,2015,2,5,May,14,Thursday,False
2015-05-15,478,2015,2,5,May,15,Friday,False
2015-05-16,479,2015,2,5,May,16,Saturday,True
2015-05-17,480,2015,2,5,May,17,Sunday,True
2015-05-18,481,2015,2,5,May,18,Monday,False
2015-05-19,482,2015,2,5,May,19,Tuesday,False
2015-05-20,483,2015,2,5,May,20,Wednesday,False
2015-05-21,484,2015,2,5,May,21,Thursday,False
2015-05-22,485,2015,2,5,May,22,Friday,False
2015-05-23,486,2015,2,5,May,23,Saturday,True
2015-05-24,487,2015,2,5,May,24,Sunday,True
2015-05-25,488,2015,2,5,May,25,Monday,False
2015-05-26,489,2015,2,5,May,26,Tuesday,False
2015-05-27,490,2015,2,5,May,27,Wednesday,False
2015-05-28,491,2015,2,5,May,28,Thursday,False
2015-05-29,492,2015,2,5,May,29,Friday,False
2015-05-30,493,2015,2,5,May,30,Saturday,True
2015-05-31,494,2015,2,5,May,31,Sunday,True
2015-06-01,495,2015,2,6,June,1,Monday,False
2015-06-02,496,2015,2,6,June,2,Tuesday,False
2015-06-03,497,2015,2,6,June,3,Wednesday,False
2015-06-04,498,2015,2,6,June,4,Thursday,False
2015-06-05,499,2015,2,6,June,5,Friday,False
2015-06-07,500,2015,2,6,June,7,Sunday,True
2015-06-08,501,2015,2,6,June,8,Monday,False
2015-06-09,502,2015,2,6,June,9,Tuesday,False
2015-06-10,503,2015,2,6,June,10,Wednesday,False
2015-06-11,504,2015,2,6,June,11,Thursday,False
2015-06-12,505,2015,2,6,June,12,Friday,False
2015-06-13,506,2015,2,6,June,13,Saturday,True
2015-06-14,507,2015,2,6,June,14,Sunday,True
2015-06-15,508,2015,2,6,June,15,Monday,False
2015-06-16,509,2015,2,6,June,16,Tuesday,False
2015-06-17,510,2015,2,6,June,17,Wednesday,False
2015-06-18,511,2015,2,6,June,18,Thursday,False
2015-06-19,512,2015,2,6,June,19,Friday,False
